StrategyID,Strategy,StrategyComplexity,MatchedBaseStrategyID,AcceptanceRule,RequireModelAgreement,UseViewSD,UseKNN,SelectedK,ConfidenceThreshold,ViewSDThreshold,KNNPercentileThreshold,ViewSDGateActive,KNNGateActive,TotalCount,AcceptedCount,DeferredCount,Coverage,CoveragePercent,ReviewRate,ReviewRatePercent,AcceptedErrors,AcceptedErrorRate,AcceptedAccuracy,AcceptedSensitivity,AcceptedSpecificity,AcceptedBalancedAccuracy,AcceptedTruePositives,AcceptedTrueNegatives,AcceptedFalsePositives,AcceptedFalseNegatives,FalseNegativesAmongAccepted,DataScope,TestStatus,TargetCoveragePercent,TargetAcceptedCount,CoverageDeviationPercentagePoints,MatchedBaseAcceptedErrors,MatchedBaseFalseNegatives,ErrorDifferenceVsMatchedBase,FalseNegativeDifferenceVsMatchedBase,StrictImprovementAtMatchedAcceptedCount,BaseMaxCoverageAtSameErrorConstraint,KNNMaxCoverageAtSameErrorConstraint,StrictHigherCoverageAtSameErrorConstraint,AnyStrictKNNImprovement
c_view_sd_knn,C + ViewSD + KNN,3,c_view_sd,PrimaryConfidenceMargin >= ConfidenceThreshold AND Day3StdViewProbability <= ViewSDThreshold AND SelectedKNNReferencePercentile <= KNNPercentileThreshold,False,True,True,10,1.2172114485182921,0.31222281576648309,100,True,False,120,84,36,0.69999999999999996,70,0.29999999999999999,30,1,0.011904761904761904,0.98809523809523814,0.9838709677419355,1,0.99193548387096775,61,22,0,1,1,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,70,84,0,1,1,0,0,False,0.7416666666666667,0.7416666666666667,False,False
c_agreement_view_sd_knn,C + Agreement + ViewSD + KNN,4,c_agreement_view_sd,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True AND Day3StdViewProbability <= ViewSDThreshold AND SelectedKNNReferencePercentile <= KNNPercentileThreshold,True,True,True,10,1.5050770738603521,0.33322164747457844,100,True,False,120,84,36,0.69999999999999996,70,0.29999999999999999,30,1,0.011904761904761904,0.98809523809523814,0.98412698412698407,1,0.99206349206349209,62,21,0,1,1,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,70,84,0,1,1,0,0,False,0.75,0.75,False,False
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,1.6118236613357837,,,False,False,120,90,30,0.75,75,0.25,25,3,0.033333333333333333,0.96666666666666667,0.97058823529411764,0.95454545454545459,0.96256684491978617,66,21,1,2,2,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,75,90,0,,,,,False,,,False,False
c_agreement,C + Agreement,2,,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True,True,False,False,10,1.4022270844412561,,,False,False,120,90,30,0.75,75,0.25,25,2,0.022222222222222223,0.97777777777777775,0.9850746268656716,0.95652173913043481,0.97079818299805321,66,22,1,1,1,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,75,90,0,,,,,False,,,False,False
c_view_sd,C + ViewSD,2,,PrimaryConfidenceMargin >= ConfidenceThreshold AND Day3StdViewProbability <= ViewSDThreshold,False,True,False,10,0.73695406291178678,0.3184758880922276,,True,False,120,90,30,0.75,75,0.25,25,2,0.022222222222222223,0.97777777777777775,0.96969696969696972,1,0.98484848484848486,64,24,0,2,2,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,75,90,0,,,,,False,,,False,False
c_agreement_view_sd,C + Agreement + ViewSD,3,,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True AND Day3StdViewProbability <= ViewSDThreshold,True,True,False,10,0.83179976063869354,0.33322164747457844,,True,False,120,90,30,0.75,75,0.25,25,1,0.011111111111111112,0.98888888888888893,0.98484848484848486,1,0.99242424242424243,65,24,0,1,1,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,75,90,0,,,,,False,,,False,False
c_knn,C + KNN,2,c,PrimaryConfidenceMargin >= ConfidenceThreshold AND SelectedKNNReferencePercentile <= KNNPercentileThreshold,False,False,True,10,1.6118236613357837,,100,False,False,120,90,30,0.75,75,0.25,25,3,0.033333333333333333,0.96666666666666667,0.97058823529411764,0.95454545454545459,0.96256684491978617,66,21,1,2,2,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,75,90,0,3,2,0,0,False,0.7583333333333333,0.77500000000000002,True,True
c_agreement_knn,C + Agreement + KNN,3,c_agreement,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True AND SelectedKNNReferencePercentile <= KNNPercentileThreshold,True,False,True,10,0.73695406291178678,,98.453608247422679,False,True,120,90,30,0.75,75,0.25,25,1,0.011111111111111112,0.98888888888888893,0.98484848484848486,1,0.99242424242424243,65,24,0,1,1,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,75,90,0,2,1,1,0,True,0.57499999999999996,0.75,True,True
c_view_sd_knn,C + ViewSD + KNN,3,c_view_sd,PrimaryConfidenceMargin >= ConfidenceThreshold AND Day3StdViewProbability <= ViewSDThreshold AND SelectedKNNReferencePercentile <= KNNPercentileThreshold,False,True,True,10,0.73695406291178678,0.3184758880922276,100,True,False,120,90,30,0.75,75,0.25,25,2,0.022222222222222223,0.97777777777777775,0.96969696969696972,1,0.98484848484848486,64,24,0,2,2,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,75,90,0,2,2,0,0,False,0.7583333333333333,0.7583333333333333,False,False
c_agreement_view_sd_knn,C + Agreement + ViewSD + KNN,4,c_agreement_view_sd,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True AND Day3StdViewProbability <= ViewSDThreshold AND SelectedKNNReferencePercentile <= KNNPercentileThreshold,True,True,True,10,0.83179976063869354,0.33322164747457844,100,True,False,120,90,30,0.75,75,0.25,25,1,0.011111111111111112,0.98888888888888893,0.98484848484848486,1,0.99242424242424243,65,24,0,1,1,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,75,90,0,1,1,0,0,False,0.75,0.75,False,False
