StrategyID,Strategy,StrategyComplexity,RequestedStrategy,AcceptanceRule,RequireModelAgreement,UseViewSD,UseFeatureTypicality,ConfidenceThreshold,ViewSDThreshold,FeaturePercentileThreshold,ViewSDGateActive,FeatureGateActive,TotalCount,AcceptedCount,DeferredCount,Coverage,CoveragePercent,ReviewRate,ReviewRatePercent,AcceptedErrors,AcceptedErrorRate,AcceptedErrorPercent,AcceptedAccuracy,AcceptedSensitivity,AcceptedSpecificity,AcceptedBalancedAccuracy,FalseNegativesAmongAccepted,AcceptedTruePositives,AcceptedTrueNegatives,AcceptedFalsePositives,AcceptedFalseNegatives
confidence_only,Confidence only,1,True,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,0.0021789637962887909,,,False,False,120,120,0,1,100,0,0,10,0.083333333333333329,8.3333333333333339,0.91666666666666663,0.92045454545454541,0.90625,0.91335227272727271,7,81,29,3,7
confidence_model_agreement,Confidence + model agreement,2,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True,True,False,False,2.2084707824028404,,,False,False,120,68,52,0.56666666666666665,56.666666666666664,0.43333333333333335,43.333333333333336,0,0,0,1,1,1,1,0,59,9,0,0
confidence_model_agreement,Confidence + model agreement,2,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True,True,False,False,2.1838475205583059,,,False,False,120,69,51,0.57499999999999996,57.5,0.42499999999999999,42.5,1,0.014492753623188406,1.4492753623188406,0.98550724637681164,1,0.90000000000000002,0.94999999999999996,0,59,9,1,0
confidence_model_agreement,Confidence + model agreement,2,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True,True,False,False,0.83179976063869354,,,False,False,120,96,24,0.80000000000000004,80,0.20000000000000001,20,2,0.020833333333333332,2.0833333333333335,0.97916666666666663,0.9859154929577465,0.95999999999999996,0.97295774647887323,1,70,24,1,1
confidence_model_agreement,Confidence + model agreement,2,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True,True,False,False,0.73695406291178678,,,False,False,120,99,21,0.82499999999999996,82.5,0.17499999999999999,17.5,3,0.030303030303030304,3.0303030303030303,0.96969696969696972,0.98630136986301364,0.92307692307692313,0.95468914646996839,1,72,24,2,1
confidence_model_agreement,Confidence + model agreement,2,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True,True,False,False,0.50927913018746063,,,False,False,120,102,18,0.84999999999999998,85,0.14999999999999999,15,4,0.039215686274509803,3.9215686274509802,0.96078431372549022,0.97368421052631582,0.92307692307692313,0.94838056680161942,2,74,24,2,2
confidence_model_agreement,Confidence + model agreement,2,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True,True,False,False,0.24169623520724892,,,False,False,120,107,13,0.89166666666666672,89.166666666666671,0.10833333333333334,10.833333333333334,5,0.046728971962616821,4.6728971962616823,0.95327102803738317,0.96202531645569622,0.9285714285714286,0.94529837251356241,3,76,26,2,3
confidence_model_agreement,Confidence + model agreement,2,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND ModelAgreement == True,True,False,False,0.0021789637962887909,,,False,False,120,112,8,0.93333333333333335,93.333333333333329,0.066666666666666666,6.666666666666667,6,0.053571428571428568,5.3571428571428568,0.9464285714285714,0.95121951219512191,0.93333333333333335,0.94227642276422763,4,78,28,2,4
confidence_view_sd,Confidence + view SD,2,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND Day3StdViewProbability <= ViewSDThreshold,False,True,False,2.2084707824028404,0.42641146551730086,,False,False,120,69,51,0.57499999999999996,57.5,0.42499999999999999,42.5,0,0,0,1,1,1,1,0,60,9,0,0
confidence_view_sd,Confidence + view SD,2,True,PrimaryConfidenceMargin >= ConfidenceThreshold AND Day3StdViewProbability <= ViewSDThreshold,False,True,False,0.73695406291178678,0.31222281576648309,,True,False,120,89,31,0.7416666666666667,74.166666666666671,0.25833333333333336,25.833333333333332,1,0.011235955056179775,1.1235955056179776,0.9887640449438202,0.98461538461538467,1,0.99230769230769234,1,64,24,0,1
