StrategyID,Strategy,StrategyComplexity,MatchedBaseStrategyID,AcceptanceRule,RequireModelAgreement,UseViewSD,UseKNN,SelectedK,ConfidenceThreshold,ViewSDThreshold,KNNPercentileThreshold,ViewSDGateActive,KNNGateActive,TotalCount,AcceptedCount,DeferredCount,Coverage,CoveragePercent,ReviewRate,ReviewRatePercent,AcceptedErrors,AcceptedErrorRate,AcceptedAccuracy,AcceptedSensitivity,AcceptedSpecificity,AcceptedBalancedAccuracy,AcceptedTruePositives,AcceptedTrueNegatives,AcceptedFalsePositives,AcceptedFalseNegatives,FalseNegativesAmongAccepted,DataScope,TestStatus,ParetoFrontier
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,5.0409589609016274,,,False,False,120,29,91,0.24166666666666667,24.166666666666668,0.7583333333333333,75.833333333333329,0,0,1,1,,,29,0,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,False
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,5.0002677546048542,,,False,False,120,30,90,0.25,25,0.75,75,0,0,1,1,,,30,0,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,False
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,4.9726242996704899,,,False,False,120,31,89,0.25833333333333336,25.833333333333332,0.7416666666666667,74.166666666666671,0,0,1,1,,,31,0,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,False
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,4.9622043863965981,,,False,False,120,32,88,0.26666666666666666,26.666666666666668,0.73333333333333328,73.333333333333329,0,0,1,1,,,32,0,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,False
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,4.9303703606799978,,,False,False,120,33,87,0.27500000000000002,27.5,0.72499999999999998,72.5,0,0,1,1,,,33,0,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,False
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,4.9238478726277499,,,False,False,120,34,86,0.28333333333333333,28.333333333333332,0.71666666666666667,71.666666666666671,0,0,1,1,,,34,0,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,False
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,4.8669551728462563,,,False,False,120,35,85,0.29166666666666669,29.166666666666668,0.70833333333333337,70.833333333333329,0,0,1,1,,,35,0,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,False
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,4.8518445696806269,,,False,False,120,36,84,0.29999999999999999,30,0.69999999999999996,70,0,0,1,1,,,36,0,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,False
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,4.7047127187796765,,,False,False,120,37,83,0.30833333333333335,30.833333333333332,0.69166666666666665,69.166666666666671,0,0,1,1,,,37,0,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,False
c,C,1,,PrimaryConfidenceMargin >= ConfidenceThreshold,False,False,False,10,4.6401546378499363,,,False,False,120,38,82,0.31666666666666665,31.666666666666668,0.68333333333333335,68.333333333333329,0,0,1,1,,,38,0,0,0,0,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED,False
