AcceptedErrorRateBudget,AcceptedErrorPercentBudget,StrategyID,Strategy,HighestAcceptedCountWithinBudget,HighestCoverageWithinBudget,HighestCoveragePercentWithinBudget,ObservedAcceptedErrors,ObservedAcceptedErrorRate,FalseNegativesAmongAccepted,HighestCoverageWinner,HighestCoverageStrategies
0.012987012987012988,1.2987012987012987,full_reliability,Confidence + agreement + view SD + feature typicality,90,0.75,75,1,0.011111111111111112,1,True,Confidence + agreement + view SD + feature typicality
0.013157894736842105,1.3157894736842104,confidence_only,Confidence only,69,0.57499999999999996,57.5,0,0,0,False,Confidence + agreement + view SD + feature typicality
0.013157894736842105,1.3157894736842104,confidence_model_agreement,Confidence + model agreement,68,0.56666666666666665,56.666666666666664,0,0,0,False,Confidence + agreement + view SD + feature typicality
0.013157894736842105,1.3157894736842104,confidence_view_sd,Confidence + view SD,89,0.7416666666666667,74.166666666666671,1,0.011235955056179775,1,False,Confidence + agreement + view SD + feature typicality
0.013157894736842105,1.3157894736842104,full_reliability,Confidence + agreement + view SD + feature typicality,90,0.75,75,1,0.011111111111111112,1,True,Confidence + agreement + view SD + feature typicality
0.013333333333333334,1.3333333333333335,confidence_only,Confidence only,69,0.57499999999999996,57.5,0,0,0,False,Confidence + agreement + view SD + feature typicality
0.013333333333333334,1.3333333333333335,confidence_model_agreement,Confidence + model agreement,68,0.56666666666666665,56.666666666666664,0,0,0,False,Confidence + agreement + view SD + feature typicality
0.013333333333333334,1.3333333333333335,confidence_view_sd,Confidence + view SD,89,0.7416666666666667,74.166666666666671,1,0.011235955056179775,1,False,Confidence + agreement + view SD + feature typicality
0.013333333333333334,1.3333333333333335,full_reliability,Confidence + agreement + view SD + feature typicality,90,0.75,75,1,0.011111111111111112,1,True,Confidence + agreement + view SD + feature typicality
0.013513513513513514,1.3513513513513513,confidence_only,Confidence only,69,0.57499999999999996,57.5,0,0,0,False,Confidence + agreement + view SD + feature typicality
0.013513513513513514,1.3513513513513513,confidence_model_agreement,Confidence + model agreement,68,0.56666666666666665,56.666666666666664,0,0,0,False,Confidence + agreement + view SD + feature typicality
0.013513513513513514,1.3513513513513513,confidence_view_sd,Confidence + view SD,89,0.7416666666666667,74.166666666666671,1,0.011235955056179775,1,False,Confidence + agreement + view SD + feature typicality
0.013513513513513514,1.3513513513513513,full_reliability,Confidence + agreement + view SD + feature typicality,90,0.75,75,1,0.011111111111111112,1,True,Confidence + agreement + view SD + feature typicality
0.013698630136986301,1.3698630136986301,confidence_only,Confidence only,69,0.57499999999999996,57.5,0,0,0,False,Confidence + agreement + view SD + feature typicality
