Full__AcceptedCount,Full__Coverage,Full__AcceptedErrors,Full__AcceptedErrorRate,Full__FalseNegativesAmongAccepted,Full__AcceptedBalancedAccuracy,Full__FeaturePercentileThreshold,Full__FeatureGateActive,Ablation__AcceptedCount,Ablation__Coverage,Ablation__AcceptedErrors,Ablation__AcceptedErrorRate,Ablation__FalseNegativesAmongAccepted,Ablation__AcceptedBalancedAccuracy,FeatureImprovesAcceptedErrors,FeatureImprovesFalseNegatives,AcceptedErrorDeltaFullMinusAblation,FalseNegativeDeltaFullMinusAblation
67,0.55833333333333335,0,0,0,1,98.360655737704917,False,67,0.55833333333333335,0,0,0,1,False,False,0,0
68,0.56666666666666665,0,0,0,1,98.360655737704917,False,68,0.56666666666666665,0,0,0,1,False,False,0,0
69,0.57499999999999996,1,0.014492753623188406,0,0.94999999999999996,98.360655737704917,False,69,0.57499999999999996,1,0.014492753623188406,0,0.94999999999999996,False,False,0,0
70,0.58333333333333337,1,0.014285714285714285,1,0.99152542372881358,98.360655737704917,False,70,0.58333333333333337,1,0.014285714285714285,1,0.99152542372881358,False,False,0,0
71,0.59166666666666667,1,0.014084507042253521,1,0.99152542372881358,98.360655737704917,False,71,0.59166666666666667,1,0.014084507042253521,1,0.99152542372881358,False,False,0,0
72,0.59999999999999998,1,0.013888888888888888,1,0.99152542372881358,98.360655737704917,False,72,0.59999999999999998,1,0.013888888888888888,1,0.99152542372881358,False,False,0,0
73,0.60833333333333328,1,0.013698630136986301,1,0.9916666666666667,98.360655737704917,False,73,0.60833333333333328,1,0.013698630136986301,1,0.9916666666666667,False,False,0,0
74,0.6166666666666667,1,0.013513513513513514,1,0.99180327868852458,98.360655737704917,False,74,0.6166666666666667,1,0.013513513513513514,1,0.99180327868852458,False,False,0,0
75,0.625,1,0.013333333333333334,1,0.99180327868852458,98.360655737704917,False,75,0.625,1,0.013333333333333334,1,0.99180327868852458,False,False,0,0
76,0.6333333333333333,1,0.013157894736842105,1,0.99193548387096775,98.360655737704917,False,76,0.6333333333333333,1,0.013157894736842105,1,0.99193548387096775,False,False,0,0
77,0.64166666666666672,1,0.012987012987012988,1,0.99193548387096775,98.360655737704917,False,77,0.64166666666666672,1,0.012987012987012988,1,0.99193548387096775,False,False,0,0
78,0.65000000000000002,1,0.01282051282051282,1,0.99193548387096775,98.360655737704917,False,78,0.65000000000000002,1,0.01282051282051282,1,0.99193548387096775,False,False,0,0
79,0.65833333333333333,1,0.012658227848101266,1,0.99206349206349209,98.360655737704917,False,79,0.65833333333333333,1,0.012658227848101266,1,0.99206349206349209,False,False,0,0
80,0.66666666666666663,1,0.012500000000000001,1,0.99206349206349209,98.360655737704917,False,80,0.66666666666666663,1,0.012500000000000001,1,0.99206349206349209,False,False,0,0
81,0.67500000000000004,1,0.012345679012345678,1,0.99206349206349209,98.360655737704917,False,81,0.67500000000000004,1,0.012345679012345678,1,0.99206349206349209,False,False,0,0
82,0.68333333333333335,1,0.012195121951219513,1,0.99206349206349209,98.360655737704917,False,82,0.68333333333333335,1,0.012195121951219513,1,0.99206349206349209,False,False,0,0
83,0.69166666666666665,1,0.012048192771084338,1,0.99206349206349209,98.360655737704917,False,83,0.69166666666666665,1,0.012048192771084338,1,0.99206349206349209,False,False,0,0
84,0.69999999999999996,1,0.011904761904761904,1,0.99206349206349209,98.360655737704917,False,84,0.69999999999999996,1,0.011904761904761904,1,0.99206349206349209,False,False,0,0
85,0.70833333333333337,1,0.011764705882352941,1,0.99206349206349209,98.360655737704917,False,85,0.70833333333333337,1,0.011764705882352941,1,0.99206349206349209,False,False,0,0
